INFO [12-20|14:19:09.052] New local node record                    seq=1 id=a3dc6a456a399bc2 ip=<nil> udp=0 tcp=0
TRACE[12-20|14:19:12.240] >> PONG/v4                               addr=172.19.0.4:30303 err=nil
TRACE[12-20|14:19:12.240] >> PING/v4                               addr=172.19.0.4:30303 err=nil
TRACE[12-20|14:19:12.240] << PING/v4                               addr=172.19.0.4:30303 err=nil
TRACE[12-20|14:19:12.240] << PONG/v4                               addr=172.19.0.4:30303 err=nil
TRACE[12-20|14:19:12.253] >> NEIGHBORS/v4                          addr=172.19.0.4:30303 err=nil
TRACE[12-20|14:19:12.253] << FINDNODE/v4                           addr=172.19.0.4:30303 err=nil
TRACE[12-20|14:19:12.273] >> PONG/v4                               addr=172.19.0.4:30303 err=nil
TRACE[12-20|14:19:12.273] << PING/v4                               addr=172.19.0.4:30303 err=nil
TRACE[12-20|14:19:12.819] >> NEIGHBORS/v4                          addr=172.19.0.4:30303 err=nil
TRACE[12-20|14:19:12.819] << FINDNODE/v4                           addr=172.19.0.4:30303 err=nil
TRACE[12-20|14:19:13.303] >> PONG/v4                               addr=172.19.0.3:30303 err=nil
TRACE[12-20|14:19:13.303] >> PING/v4                               addr=172.19.0.3:30303 err=nil
TRACE[12-20|14:19:13.303] << PING/v4                               addr=172.19.0.3:30303 err=nil
TRACE[12-20|14:19:13.320] >> PONG/v4                               addr=172.19.0.3:30303 err=nil
TRACE[12-20|14:19:13.321] >> PING/v4                               addr=172.19.0.3:30303 err=nil
TRACE[12-20|14:19:13.321] << PING/v4                               addr=172.19.0.3:30303 err=nil
TRACE[12-20|14:19:13.357] << FINDNODE/v4                           addr=172.19.0.3:30303 err="unknown node"
TRACE[12-20|14:19:13.358] << PONG/v4                               addr=172.19.0.3:30303 err=nil
TRACE[12-20|14:19:13.363] >> NEIGHBORS/v4                          addr=172.19.0.4:30303 err=nil
TRACE[12-20|14:19:13.363] << FINDNODE/v4                           addr=172.19.0.4:30303 err=nil
TRACE[12-20|14:19:13.365] >> NEIGHBORS/v4                          addr=172.19.0.3:30303 err=nil
TRACE[12-20|14:19:13.365] << FINDNODE/v4                           addr=172.19.0.3:30303 err=nil
TRACE[12-20|14:19:13.370] << PONG/v4                               addr=172.19.0.3:30303 err=nil
TRACE[12-20|14:19:13.402] >> PONG/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:13.402] >> PING/v4                               addr=172.19.0.101:30303 err=nil
